work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2023,SE,FT,Data Scientist,100000,USD,100000,US,0,US,M
2022,EN,FT,Data Analyst,55000,USD,55000,US,100,US,S
2023,SE,FT,Data Engineer,252000,USD,252000,US,0,US,M
2022,SE,FT,Data Engineer,160000,USD,160000,US,100,US,M
2023,SE,FT,Data Engineer,145000,USD,145000,CA,100,CA,M
2022,MI,FT,Data Engineer,24000,USD,24000,US,0,US,M
2023,SE,FT,Data Analyst,120000,USD,120000,US,0,US,M
2023,SE,FT,Business Intelligence Engineer,156400,USD,156400,US,0,US,M
2023,MI,FT,Data Engineer,175000,USD,175000,US,0,US,M
2022,SE,FT,Data Engineer,197000,USD,197000,US,0,US,M
2023,SE,FT,Applied Scientist,180000,USD,180000,US,0,US,M
2023,MI,FT,Data Scientist,65000,GBP,78990,GB,0,GB,M
2023,SE,FT,Data Engineer,109000,USD,109000,US,0,US,M
2022,EN,FT,AI Scientist,200000,USD,200000,CA,50,CA,L
2022,MI,FT,Data Engineer,90000,USD,90000,US,100,US,M
2022,MI,FT,Research Scientist,145000,USD,145000,US,50,US,L
2020,MI,FT,Data Scientist,3000000,INR,100000,IN,0,IN,L
2023,MI,CT,ML Engineer,100000,USD,100000,US,100,US,S
2022,SE,FT,Data Engineer,160000,USD,160000,US,0,US,M
2022,SE,FT,Data Engineer,131300,USD,131300,US,100,US,L
2022,SE,FT,Machine Learning Engineer,142200,USD,142200,US,0,US,M
2023,SE,FT,Data Scientist,126500,USD,126500,US,0,US,M
2023,SE,FT,Data Analyst,45000,GBP,54685,US,100,US,M
2022,SE,FT,Data Analyst,127000,USD,127000,US,100,US,M
2020,MI,FT,Machine Learning Infrastructure Engineer,100000,EUR,100000,PT,0,PT,M
2023,SE,FT,Data Scientist,100000,USD,100000,US,100,US,M
2022,SE,FT,Data Engineer,110000,USD,110000,US,100,US,M
2023,MI,FT,Data Engineer,42000,GBP,51039,GB,0,GB,M
2023,MI,FT,Data Engineer,250000,USD,250000,US,0,US,M
2022,MI,FT,Research Scientist,100000,USD,100000,IN,100,IN,L
2022,SE,FT,Applied Scientist,100000,USD,100000,US,100,US,M
2022,MI,FT,Data Engineer,70000,EUR,73546,GR,100,GR,M
2023,SE,FT,Data Engineer,170000,USD,170000,US,0,US,M
2023,SE,FT,Applied Scientist,222200,USD,222200,US,0,US,L
2021,SE,FT,Data Analyst,54000,EUR,100000,DE,50,DE,L
2022,SE,FT,Data Scientist,150000,USD,150000,US,100,US,M
2022,MI,FT,Machine Learning Scientist,153000,USD,153000,US,50,US,M
2022,SE,FT,Data Analyst,126500,USD,126500,US,100,US,M
2021,MI,FT,Machine Learning Engineer,180000,PLN,100000,PL,100,PL,L
2022,SE,FT,Data Analyst,35000,EUR,36773,ES,0,ES,M
2023,SE,FT,Data Engineer,100000,USD,100000,US,100,US,M
2023,MI,FT,Applied Data Scientist,80000,USD,80000,US,100,US,S
2022,MI,FT,Data Analyst,100000,USD,100000,US,0,US,M
2022,SE,FT,Data Analyst,119000,USD,119000,US,100,US,M
2022,SE,FT,BI Developer,140000,USD,140000,US,100,US,M
2023,SE,FT,Data Scientist,185900,USD,185900,US,0,US,M
2023,SE,FT,Machine Learning Engineer,72000,EUR,100000,LV,0,LV,M
2023,SE,FT,Data Engineer,130000,USD,130000,US,100,US,M
2023,SE,FT,Machine Learning Software Engineer,100000,USD,100000,US,0,US,M
2022,MI,FT,Data Scientist,70000,EUR,73546,NL,50,NL,L
2023,SE,FT,Data Analyst,100000,USD,100000,US,0,US,M
2023,SE,FT,Data Analyst,145000,USD,145000,US,100,US,M
2022,MI,FT,Machine Learning Engineer,100000,AUD,100000,AU,100,AU,L
2022,MI,FT,Data Scientist,150000,PLN,100000,PL,100,PL,L
2023,SE,FT,Data Architect,100000,USD,100000,US,0,US,M
2023,SE,FT,Data Analyst,105500,USD,105500,US,0,US,M
2023,SE,FT,Data Scientist,140000,USD,140000,US,0,US,M
2023,SE,FT,Data Architect,100000,USD,100000,US,100,US,M
2023,SE,FT,Data Engineer,180000,USD,180000,US,0,US,M
2023,SE,FT,Data Engineer,225000,USD,225000,US,0,US,M
2023,SE,FT,Data Engineer,185900,USD,185900,US,0,US,M
2023,SE,FT,Applied Scientist,196000,USD,196000,US,100,US,M
2022,SE,FT,Data Engineer,134000,USD,134000,US,0,US,M
2021,MI,FT,Data Scientist,100000,EUR,100000,DE,50,DE,L
2023,MI,FT,Data Analyst,120000,USD,120000,US,100,US,M
2023,SE,FT,Data Scientist,145000,USD,145000,US,100,US,M
2023,MI,FT,Data Engineer,250000,USD,250000,US,0,US,M
2023,SE,FT,Data Scientist,120000,USD,120000,US,0,US,M
2023,SE,FT,Research Scientist,100000,USD,100000,US,0,US,M
2023,SE,FT,Data Engineer,160000,USD,160000,US,100,US,M
2023,SE,FT,Data Scientist,200000,USD,200000,US,100,US,M
2023,SE,FT,Data Analyst,90000,USD,90000,US,100,US,M
2023,SE,FT,Data Engineer,128000,USD,128000,US,100,US,M
2022,SE,FT,Data Specialist,70000,USD,70000,US,0,US,M
2022,SE,FT,Data Analyst,100000,USD,100000,US,100,US,M
2022,EN,FT,Machine Learning Developer,180000,USD,180000,US,100,US,L
2022,MI,FT,Data Scientist,140000,GBP,100000,GB,0,GB,M
2023,SE,FT,Data Scientist,129300,USD,129300,US,0,US,M
2021,MI,FT,Data Scientist,50000,USD,50000,NG,100,NG,L
2023,EN,FT,Data Analyst,50000,USD,50000,US,50,US,L
2023,MI,FT,Data Analyst,45000,GBP,54685,GB,0,GB,M
2023,SE,FT,Research Scientist,210000,USD,210000,US,0,US,M
2022,SE,FT,Data Engineer,25000,USD,100000,US,100,US,M
2023,SE,FT,Research Scientist,100000,USD,100000,ES,0,ES,M
2022,SE,FT,Machine Learning Engineer,150000,USD,150000,US,100,US,M
2022,SE,FT,Data Scientist,185900,USD,185900,US,0,US,M
2022,SE,FT,Data Engineer,100000,USD,100000,US,0,US,M
2023,SE,FT,Data Engineer,50000,EUR,53654,FR,50,FR,S
2023,MI,FT,Data Engineer,260000,USD,260000,US,0,US,M
2022,SE,FT,Data Analyst,169000,USD,169000,US,0,US,M
2023,SE,FT,Machine Learning Infrastructure Engineer,100000,EUR,100000,FR,100,FR,M
2020,MI,FT,Data Scientist,55000,EUR,100000,FR,50,LU,S
2023,SE,FT,Research Engineer,100000,USD,100000,US,0,US,M
2023,SE,FT,Data Engineer,100000,USD,100000,US,100,US,M
2022,SE,FT,Data Engineer,175000,USD,175000,US,100,US,M
2023,MI,FT,Machine Learning Engineer,148500,USD,148500,US,0,US,M
2021,MI,FT,AI Scientist,30000,USD,30000,US,0,US,S
2022,SE,FT,Data Analyst,95000,USD,95000,US,0,US,M
2022,SE,FT,Data Scientist,120000,USD,120000,US,0,US,M
2022,MI,FT,Analytics Engineer,85000,GBP,104663,GB,0,GB,M
2023,SE,FT,Data Engineer,100000,USD,100000,US,100,US,M
2023,SE,FT,Machine Learning Engineer,153400,USD,153400,US,0,US,M
2023,MI,FT,Data Scientist,100000,USD,100000,US,100,US,M
2022,MI,FT,Data Analyst,100000,USD,100000,US,0,US,M
2023,SE,FT,Data Engineer,200000,USD,200000,US,0,US,M
2023,MI,FT,Data Engineer,55000,GBP,100000,GB,100,GB,M
2023,MI,FT,Machine Learning Engineer,52000,GBP,100000,GB,100,GB,M
2022,EX,FT,Analytics Engineer,200000,USD,200000,US,100,US,M
2023,MI,FT,Product Data Analyst,100000,INR,100000,IN,100,IN,L
2022,SE,FT,Data Science Consultant,122000,USD,122000,US,0,US,M
2022,MI,FT,Data Analyst,206000,USD,206000,US,0,US,M
2023,MI,FT,Data Analyst,112000,USD,112000,US,0,US,M
2023,SE,FT,Data Analyst,175000,USD,175000,US,0,US,M
2022,MI,FT,Data Analytics Manager,155000,USD,155000,US,0,US,M
2023,SE,FT,Research Scientist,150000,USD,150000,US,0,US,M
2022,SE,FT,Data Analyst,100000,USD,100000,US,100,US,M
2023,MI,FT,Data Engineer,70000,GBP,85066,GB,100,GB,M
2021,EN,FT,Data Scientist,100000,INR,100000,IN,50,IN,L
2023,SE,FT,Machine Learning Engineer,163800,USD,163800,US,0,US,M
2022,EX,FT,Head of Data Science,100000,USD,100000,US,100,US,M
2022,MI,FT,Data Engineer,135000,USD,135000,US,100,US,M
2023,MI,FT,Machine Learning Scientist,230000,USD,230000,US,0,US,M
2023,SE,FT,Data Science Manager,245100,USD,245100,US,0,US,M
2022,SE,FT,Data Scientist,185000,USD,185000,US,100,US,M
2022,SE,FT,Analytics Engineer,138750,USD,138750,US,100,US,M
2022,SE,FT,Data Architect,113900,USD,113900,US,100,US,M
2023,EX,FT,Head of Data Science,100000,USD,100000,US,0,US,M
2023,SE,FT,Data Scientist,100000,USD,100000,US,0,US,M
2022,SE,FT,Data Scientist,100000,USD,100000,US,0,US,M
2022,SE,FT,Data Engineer,180000,USD,180000,US,0,US,M
2023,SE,FT,Machine Learning Engineer,150000,USD,150000,US,100,US,M
2023,SE,FT,Machine Learning Engineer,172200,USD,172200,US,0,US,M
2023,SE,FT,Computer Vision Engineer,200000,USD,200000,US,100,US,S
2022,SE,FT,Data Engineer,160000,USD,160000,US,100,US,M
2022,SE,FT,Data Scientist,170000,USD,170000,US,100,US,M
2023,SE,FT,Data Scientist,115000,USD,115000,US,100,US,M
2022,SE,FT,Data Engineer,135000,USD,135000,US,0,US,M
2023,EX,FT,Head of Data Science,100000,USD,100000,US,0,US,M
2023,SE,FT,Data Analyst,106800,USD,106800,US,0,US,M
2022,MI,FT,Data Engineer,80000,USD,80000,US,100,US,M
2023,SE,FT,Data Engineer,160000,USD,160000,CA,100,CA,M
2022,SE,FT,Data Engineer,80000,USD,80000,US,100,US,M
2022,SE,FT,Data Architect,100000,USD,100000,US,100,US,M
2022,EN,FT,Data Analyst,55000,USD,55000,US,0,US,M
2022,SE,FT,Data Engineer,100000,USD,100000,US,0,US,M
2023,SE,FT,Data Scientist,149076,USD,149076,US,0,US,M
2023,SE,FT,Data Scientist,100000,USD,100000,US,0,US,M
2023,SE,FT,Data Scientist,235000,USD,235000,US,100,US,M
2022,SE,FT,Data Analyst,100000,USD,100000,CA,100,CA,M
2022,SE,FT,Applied Scientist,192000,USD,192000,US,100,US,M
2023,SE,FT,Data Scientist,113000,USD,113000,CA,0,CA,M
2022,SE,FT,Analytics Engineer,140250,USD,140250,US,100,US,M
2023,SE,FT,Data Analyst,250000,USD,250000,US,100,US,M
2022,SE,FT,Data Analyst,127000,USD,127000,US,100,US,M
2022,EN,FT,Machine Learning Engineer,100000,USD,100000,US,0,US,M
2022,MI,FT,Data Engineer,60000,EUR,63040,ES,100,ES,M
